               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,             0.10831,            0.029105,                   0,                   0,                   0,                   0,                   0,             0.10489,            0.022302,                   0,            0.070638,           0.0032624,           0.0032624
                   1,             0.10234,            0.028624,                   0,                   0,                   0,                   0,                   0,             0.10164,            0.022808,                   0,            0.040573,           0.0065304,           0.0065304
                   2,            0.097856,            0.028494,                   0,           0.0011111,             0.14286,          0.00077032,          0.00030813,             0.10304,            0.022171,                   0,            0.010442,           0.0097325,           0.0097325
                   3,            0.093606,            0.027825,                   0,                   0,                   0,                   0,                   0,             0.12391,            0.015212,                   0,            0.009703,            0.009703,            0.009703
                   4,            0.089544,            0.027765,                   0,           0.0011111,             0.14286,             0.01014,           0.0022985,             0.11632,            0.016277,                   0,            0.009703,            0.009703,            0.009703
                   5,            0.087626,            0.026811,                   0,                   0,                   0,                   0,                   0,              0.1072,             0.01887,                   0,            0.009604,            0.009604,            0.009604
                   6,            0.086327,            0.026528,                   0,                   0,                   0,                   0,                   0,             0.10808,            0.019545,                   0,            0.009505,            0.009505,            0.009505
                   7,            0.083486,            0.026713,                   0,                   0,                   0,                   0,                   0,             0.10793,             0.02117,                   0,            0.009406,            0.009406,            0.009406
                   8,            0.079343,            0.026355,                   0,           0.0033333,             0.42857,            0.010505,           0.0022398,            0.088127,            0.020732,                   0,            0.009307,            0.009307,            0.009307
                   9,            0.076983,            0.025263,                   0,           0.0044444,             0.57143,            0.013953,           0.0044281,            0.082037,            0.023686,                   0,            0.009208,            0.009208,            0.009208
                  10,             0.07547,            0.025873,                   0,             0.03734,             0.14286,            0.020052,           0.0049009,            0.085323,            0.020997,                   0,            0.009109,            0.009109,            0.009109
                  11,            0.072022,            0.023414,                   0,           0.0030748,             0.28571,           0.0024409,          0.00082666,             0.10317,            0.029463,                   0,             0.00901,             0.00901,             0.00901
                  12,            0.068989,             0.02372,                   0,             0.18617,             0.14286,            0.076267,            0.037242,            0.088012,            0.022034,                   0,            0.008911,            0.008911,            0.008911
                  13,            0.064271,            0.024347,                   0,           0.0022222,             0.28571,           0.0062238,           0.0022821,            0.086247,            0.020898,                   0,            0.008812,            0.008812,            0.008812
                  14,            0.061702,            0.022529,                   0,             0.18894,             0.14286,            0.078517,            0.017595,              0.0762,            0.023036,                   0,            0.008713,            0.008713,            0.008713
                  15,            0.058021,            0.021331,                   0,           0.0033333,             0.42857,           0.0086487,            0.005902,            0.083237,            0.021979,                   0,            0.008614,            0.008614,            0.008614
                  16,            0.057244,            0.021279,                   0,                   1,             0.26014,             0.35062,             0.14563,             0.06957,            0.022288,                   0,            0.008515,            0.008515,            0.008515
                  17,            0.054307,            0.020861,                   0,             0.91328,             0.28571,             0.36627,             0.20759,            0.062725,            0.020219,                   0,            0.008416,            0.008416,            0.008416
                  18,            0.053805,            0.020803,                   0,             0.94225,             0.28571,             0.40306,             0.27066,            0.058745,             0.02045,                   0,            0.008317,            0.008317,            0.008317
                  19,            0.050967,            0.019894,                   0,             0.58716,             0.41023,             0.33786,             0.18119,            0.060986,            0.022671,                   0,            0.008218,            0.008218,            0.008218
