               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  38,             0.02705,           0.0099966,                   0,             0.80883,             0.68325,              0.7059,             0.49315,            0.029852,           0.0075431,                   0,            0.006337,            0.006337,            0.006337
                  39,            0.027183,            0.010054,                   0,              0.8651,             0.65994,             0.71086,             0.50587,            0.029326,             0.00753,                   0,            0.006238,            0.006238,            0.006238
                  40,            0.026312,           0.0097927,                   0,             0.87839,             0.66615,             0.72434,             0.51071,            0.029273,           0.0075185,                   0,            0.006139,            0.006139,            0.006139
                  41,            0.026942,            0.010105,                   0,             0.83924,             0.68323,             0.71464,             0.50701,            0.028915,           0.0074462,                   0,             0.00604,             0.00604,             0.00604
                  42,            0.026701,           0.0099104,                   0,             0.87581,             0.66796,             0.72265,             0.50939,            0.029143,           0.0073283,                   0,            0.005941,            0.005941,            0.005941
                  43,            0.025993,           0.0099868,                   0,              0.8586,             0.66149,             0.72384,             0.51402,            0.028567,           0.0073778,                   0,            0.005842,            0.005842,            0.005842
                  44,            0.026594,            0.010012,                   0,             0.88248,             0.66466,             0.71568,             0.49625,            0.029432,           0.0074594,                   0,            0.005743,            0.005743,            0.005743
                  45,            0.025948,           0.0099379,                   0,             0.85688,             0.67866,             0.73362,             0.52223,            0.028292,           0.0074593,                   0,            0.005644,            0.005644,            0.005644
                  46,             0.02646,           0.0098633,                   0,             0.82683,             0.69099,             0.72025,             0.50828,            0.028942,           0.0074019,                   0,            0.005545,            0.005545,            0.005545
                  47,            0.025952,           0.0095569,                   0,             0.88223,             0.67547,             0.72357,             0.51765,            0.028771,           0.0072221,                   0,            0.005446,            0.005446,            0.005446
                  48,            0.025782,           0.0097963,                   0,             0.87431,             0.68051,             0.72163,             0.51305,            0.028422,           0.0074575,                   0,            0.005347,            0.005347,            0.005347
                  49,            0.025525,           0.0096176,                   0,             0.86926,             0.67236,             0.72659,             0.51882,            0.028521,           0.0072804,                   0,            0.005248,            0.005248,            0.005248
                  50,            0.025849,           0.0095601,                   0,             0.84694,             0.68789,             0.73062,              0.5202,            0.028307,           0.0072859,                   0,            0.005149,            0.005149,            0.005149
                  51,            0.025997,           0.0097603,                   0,             0.84679,             0.69876,             0.73506,             0.51828,            0.028352,           0.0073598,                   0,             0.00505,             0.00505,             0.00505
                  52,            0.025401,           0.0095706,                   0,             0.82563,              0.6985,             0.73357,             0.52514,            0.028423,           0.0074797,                   0,            0.004951,            0.004951,            0.004951
                  53,            0.024954,           0.0095558,                   0,             0.87054,             0.65994,             0.71072,             0.51172,            0.029081,           0.0077951,                   0,            0.004852,            0.004852,            0.004852
                  54,            0.024794,           0.0093533,                   0,             0.89983,             0.65994,             0.73551,             0.52752,            0.028232,            0.007198,                   0,            0.004753,            0.004753,            0.004753
                  55,            0.025148,           0.0095909,                   0,             0.85314,             0.68634,             0.73602,             0.52418,            0.028135,           0.0074254,                   0,            0.004654,            0.004654,            0.004654
                  56,            0.025359,           0.0096529,                   0,             0.83504,             0.70497,             0.74027,             0.51903,            0.028136,           0.0072024,                   0,            0.004555,            0.004555,            0.004555
                  57,            0.025129,           0.0095649,                   0,             0.85154,             0.67857,             0.72466,             0.51397,            0.028632,           0.0075354,                   0,            0.004456,            0.004456,            0.004456
                  58,            0.024764,           0.0094556,                   0,             0.87539,             0.68722,             0.74087,             0.52539,            0.028022,           0.0072121,                   0,            0.004357,            0.004357,            0.004357
                  59,            0.024332,           0.0091835,                   0,             0.90361,             0.64286,             0.72766,             0.52504,            0.028301,           0.0072799,                   0,            0.004258,            0.004258,            0.004258
                  60,            0.024208,           0.0094351,                   0,             0.86089,             0.67547,             0.72459,             0.51766,            0.028075,           0.0071322,                   0,            0.004159,            0.004159,            0.004159
                  61,            0.024514,            0.009501,                   0,             0.86872,             0.68012,             0.72834,             0.52784,            0.028084,           0.0073971,                   0,             0.00406,             0.00406,             0.00406
