               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,            0.057241,             0.02619,                   0,             0.76771,             0.41908,             0.50633,             0.30626,            0.051911,            0.016841,                   0,            0.070306,           0.0032993,           0.0032993
                   1,            0.052808,            0.024328,                   0,             0.75236,              0.5247,              0.6141,             0.32029,            0.048003,            0.015802,                   0,             0.04024,            0.006567,            0.006567
                   2,            0.052014,               0.024,                   0,             0.78613,             0.49277,             0.59075,             0.31294,            0.050446,             0.01694,                   0,            0.010109,           0.0097687,           0.0097687
                   3,            0.050529,            0.023605,                   0,             0.81438,             0.50868,             0.59991,             0.33965,            0.049264,            0.017479,                   0,            0.009703,            0.009703,            0.009703
                   4,            0.048741,            0.022782,                   0,             0.80694,             0.60507,             0.69513,              0.4054,            0.041429,            0.014508,                   0,            0.009703,            0.009703,            0.009703
                   5,            0.046678,            0.021614,                   0,             0.83904,             0.58937,             0.68534,             0.40701,             0.04307,            0.015451,                   0,            0.009604,            0.009604,            0.009604
                   6,            0.044938,            0.021508,                   0,             0.81122,              0.6401,             0.72548,             0.43007,            0.041037,            0.013482,                   0,            0.009505,            0.009505,            0.009505
                   7,            0.043715,            0.021132,                   0,             0.83515,             0.63043,             0.73385,             0.40264,            0.041254,            0.013859,                   0,            0.009406,            0.009406,            0.009406
                   8,            0.042059,            0.020605,                   0,             0.85476,              0.6255,             0.71819,             0.43686,            0.040057,            0.014105,                   0,            0.009307,            0.009307,            0.009307
                   9,            0.042479,            0.020454,                   0,             0.84819,             0.63527,             0.73943,             0.45499,            0.039782,            0.013148,                   0,            0.009208,            0.009208,            0.009208
                  10,            0.041814,            0.020252,                   0,             0.84614,             0.66184,             0.75528,             0.45014,            0.039467,            0.013636,                   0,            0.009109,            0.009109,            0.009109
                  11,              0.0403,             0.01931,                   0,             0.87198,             0.64734,             0.75419,             0.44443,            0.040078,            0.012866,                   0,             0.00901,             0.00901,             0.00901
                  12,            0.040298,            0.019516,                   0,             0.90409,             0.64894,             0.77197,             0.47127,            0.038434,            0.013055,                   0,            0.008911,            0.008911,            0.008911
                  13,            0.038959,             0.01946,                   0,             0.87829,             0.61881,             0.71684,             0.44978,            0.041606,            0.014439,                   0,            0.008812,            0.008812,            0.008812
                  14,            0.039233,            0.019187,                   0,             0.87921,             0.69444,             0.79902,             0.49534,            0.035508,            0.012154,                   0,            0.008713,            0.008713,            0.008713
                  15,            0.038397,            0.018969,                   0,             0.87692,             0.70531,             0.79709,             0.49141,             0.03657,            0.012485,                   0,            0.008614,            0.008614,            0.008614
                  16,            0.037843,            0.018825,                   0,             0.86407,             0.69565,               0.783,             0.49273,            0.036248,            0.012475,                   0,            0.008515,            0.008515,            0.008515
                  17,            0.036766,            0.018471,                   0,             0.87561,             0.71739,             0.80225,             0.51194,            0.034783,            0.012016,                   0,            0.008416,            0.008416,            0.008416
                  18,            0.036969,            0.018644,                   0,             0.88441,             0.70227,             0.79664,              0.5038,            0.035226,             0.01234,                   0,            0.008317,            0.008317,            0.008317
                  19,            0.036612,            0.018427,                   0,             0.85409,             0.69991,             0.78408,             0.49456,            0.037214,            0.012729,                   0,            0.008218,            0.008218,            0.008218
                  20,            0.036812,            0.018625,                   0,             0.87173,             0.71014,             0.79232,              0.5124,            0.034558,            0.012091,                   0,            0.008119,            0.008119,            0.008119
                  21,            0.035463,            0.017853,                   0,             0.89723,             0.67633,             0.78109,             0.51371,            0.034549,            0.012584,                   0,             0.00802,             0.00802,             0.00802
                  22,            0.034913,            0.017813,                   0,             0.87124,             0.71739,             0.79484,             0.53024,            0.033079,             0.01189,                   0,            0.007921,            0.007921,            0.007921
                  23,            0.035307,            0.017909,                   0,             0.85674,              0.7295,             0.80968,             0.52224,            0.034452,            0.011808,                   0,            0.007822,            0.007822,            0.007822
                  24,             0.03444,            0.017393,                   0,             0.88565,             0.70048,              0.7926,             0.51431,            0.034911,            0.011818,                   0,            0.007723,            0.007723,            0.007723
                  25,            0.033976,             0.01715,                   0,             0.89741,              0.7029,              0.8012,             0.53847,            0.033356,            0.011741,                   0,            0.007624,            0.007624,            0.007624
                  26,            0.034232,             0.01745,                   0,             0.89093,             0.70773,             0.81002,             0.53383,            0.032603,            0.011871,                   0,            0.007525,            0.007525,            0.007525
                  27,            0.033435,             0.01698,                   0,             0.87216,             0.74979,             0.82213,             0.53855,             0.03257,             0.01149,                   0,            0.007426,            0.007426,            0.007426
                  28,            0.033986,            0.017262,                   0,             0.89983,             0.71377,             0.80981,             0.52644,            0.033775,            0.011709,                   0,            0.007327,            0.007327,            0.007327
                  29,            0.033008,             0.01715,                   0,             0.89075,             0.72705,             0.81401,             0.54419,            0.032577,             0.01158,                   0,            0.007228,            0.007228,            0.007228
                  30,            0.032696,            0.016865,                   0,             0.86594,             0.74517,             0.82705,              0.5317,             0.03307,            0.011304,                   0,            0.007129,            0.007129,            0.007129
                  31,            0.032385,            0.016512,                   0,             0.85892,             0.72058,             0.80876,             0.53008,             0.03347,            0.011364,                   0,             0.00703,             0.00703,             0.00703
                  32,            0.032406,            0.016638,                   0,             0.86119,             0.73551,             0.81898,             0.53899,            0.032765,            0.011522,                   0,            0.006931,            0.006931,            0.006931
                  33,            0.032076,             0.01658,                   0,             0.90442,                0.72,             0.82083,             0.54159,            0.032937,            0.011316,                   0,            0.006832,            0.006832,            0.006832
                  34,            0.032368,            0.016489,                   0,             0.88777,              0.7165,             0.80943,             0.53848,             0.03261,            0.011475,                   0,            0.006733,            0.006733,            0.006733
                  35,            0.031828,            0.016286,                   0,             0.88728,             0.72705,             0.81288,              0.5448,            0.031982,            0.011615,                   0,            0.006634,            0.006634,            0.006634
                  36,             0.03208,            0.016379,                   0,              0.8918,             0.73913,              0.8204,             0.54378,            0.032339,            0.011478,                   0,            0.006535,            0.006535,            0.006535
                  37,            0.031146,            0.016025,                   0,             0.90515,             0.74638,             0.82487,             0.54978,             0.03271,            0.011193,                   0,            0.006436,            0.006436,            0.006436
                  38,            0.031528,            0.016396,                   0,             0.85788,             0.76208,             0.82478,             0.54186,            0.032547,            0.011107,                   0,            0.006337,            0.006337,            0.006337
                  39,            0.031007,               0.016,                   0,             0.87019,             0.75296,             0.82427,             0.55228,            0.032419,            0.011171,                   0,            0.006238,            0.006238,            0.006238
                  40,            0.030608,            0.015959,                   0,             0.87708,             0.74112,             0.82212,             0.54412,             0.03267,            0.011115,                   0,            0.006139,            0.006139,            0.006139
                  41,            0.030615,            0.015709,                   0,             0.91382,             0.71739,             0.81537,             0.54896,            0.032682,            0.011222,                   0,             0.00604,             0.00604,             0.00604
                  42,            0.030518,            0.015715,                   0,             0.90972,             0.73023,             0.82581,             0.55673,            0.031616,            0.011131,                   0,            0.005941,            0.005941,            0.005941
                  43,            0.030089,            0.015601,                   0,             0.86547,             0.76141,             0.82561,             0.55031,             0.03233,            0.011077,                   0,            0.005842,            0.005842,            0.005842
                  44,            0.030309,            0.015671,                   0,              0.8821,             0.74517,             0.82342,             0.55522,            0.031987,            0.011126,                   0,            0.005743,            0.005743,            0.005743
                  45,            0.029776,            0.015776,                   0,             0.85083,             0.76464,             0.83433,             0.55899,            0.032138,            0.010859,                   0,            0.005644,            0.005644,            0.005644
                  46,            0.029953,            0.015338,                   0,             0.87992,             0.73671,             0.81619,             0.55602,             0.03171,            0.011175,                   0,            0.005545,            0.005545,            0.005545
                  47,            0.029653,            0.015379,                   0,             0.90288,             0.72984,             0.82492,             0.56773,            0.031384,            0.011464,                   0,            0.005446,            0.005446,            0.005446
                  48,            0.029175,            0.015041,                   0,             0.87758,             0.75319,             0.82327,             0.54644,            0.032606,            0.011224,                   0,            0.005347,            0.005347,            0.005347
                  49,            0.029278,            0.015712,                   0,             0.88673,             0.74517,             0.82993,             0.54779,            0.032036,             0.01089,                   0,            0.005248,            0.005248,            0.005248
                  50,            0.029712,            0.014994,                   0,             0.88788,             0.74517,             0.82832,             0.56338,            0.031309,            0.010889,                   0,            0.005149,            0.005149,            0.005149
                  51,            0.029213,            0.014712,                   0,             0.90508,             0.73792,             0.83111,              0.5589,            0.031549,            0.010941,                   0,             0.00505,             0.00505,             0.00505
                  52,            0.029438,             0.01525,                   0,             0.87798,             0.75121,             0.82338,              0.5534,            0.031749,             0.01111,                   0,            0.004951,            0.004951,            0.004951
                  53,              0.0285,            0.015189,                   0,             0.91597,              0.7504,             0.83379,             0.56365,            0.031389,            0.010891,                   0,            0.004852,            0.004852,            0.004852
                  54,            0.028589,               0.015,                   0,             0.92548,             0.73494,              0.8288,             0.56265,            0.031316,            0.010998,                   0,            0.004753,            0.004753,            0.004753
                  55,              0.0289,            0.014825,                   0,             0.91844,             0.73445,             0.82953,             0.56279,            0.031112,            0.011033,                   0,            0.004654,            0.004654,            0.004654
                  56,            0.028087,            0.014247,                   0,             0.93015,             0.72101,             0.82432,             0.56773,            0.030981,            0.011066,                   0,            0.004555,            0.004555,            0.004555
                  57,            0.027532,            0.014477,                   0,             0.89151,             0.74034,             0.82598,             0.56651,            0.030676,            0.010937,                   0,            0.004456,            0.004456,            0.004456
                  58,            0.028038,            0.014574,                   0,             0.90618,             0.74879,             0.83147,             0.56032,            0.031273,            0.011198,                   0,            0.004357,            0.004357,            0.004357
                  59,            0.028281,            0.014646,                   0,             0.87634,             0.74638,             0.81922,             0.55613,            0.031442,            0.011172,                   0,            0.004258,            0.004258,            0.004258
                  60,            0.027385,            0.014247,                   0,             0.87474,             0.76749,              0.8339,             0.57025,            0.031312,            0.010932,                   0,            0.004159,            0.004159,            0.004159
                  61,            0.027903,            0.014716,                   0,             0.88359,             0.75483,             0.83741,             0.56815,            0.030624,            0.010982,                   0,             0.00406,             0.00406,             0.00406
                  62,             0.02749,            0.014338,                   0,             0.87674,             0.77311,             0.83647,             0.56761,            0.030936,            0.010936,                   0,            0.003961,            0.003961,            0.003961
                  63,              0.0271,            0.014173,                   0,             0.91712,             0.73504,             0.82475,              0.5622,            0.031128,            0.010832,                   0,            0.003862,            0.003862,            0.003862
                  64,             0.02772,            0.014413,                   0,             0.90585,             0.74396,             0.83181,             0.56678,            0.031083,            0.010852,                   0,            0.003763,            0.003763,            0.003763
                  65,             0.02729,            0.014238,                   0,             0.89915,             0.73551,             0.82429,             0.56115,            0.030923,            0.011213,                   0,            0.003664,            0.003664,            0.003664
                  66,            0.027015,            0.014409,                   0,              0.8995,             0.74879,              0.8321,             0.56973,            0.030981,            0.010816,                   0,            0.003565,            0.003565,            0.003565
                  67,            0.027095,            0.014254,                   0,             0.91392,             0.75604,             0.83707,             0.57263,            0.030899,            0.010917,                   0,            0.003466,            0.003466,            0.003466
                  68,            0.026445,            0.013658,                   0,             0.89334,             0.74854,             0.82151,             0.56581,             0.03092,            0.011054,                   0,            0.003367,            0.003367,            0.003367
                  69,            0.027078,            0.014063,                   0,             0.91087,             0.73913,             0.82251,             0.56433,            0.031142,            0.011111,                   0,            0.003268,            0.003268,            0.003268
                  70,            0.026499,            0.014094,                   0,             0.89934,             0.74396,              0.8292,             0.57251,            0.030912,            0.011215,                   0,            0.003169,            0.003169,            0.003169
                  71,            0.026886,            0.013932,                   0,             0.92512,             0.73309,             0.83014,              0.5716,            0.031042,             0.01088,                   0,             0.00307,             0.00307,             0.00307
                  72,            0.026228,            0.013508,                   0,             0.87126,             0.76834,             0.83569,             0.57408,            0.030617,            0.010774,                   0,            0.002971,            0.002971,            0.002971
                  73,            0.026271,            0.013468,                   0,             0.89338,             0.74879,             0.82559,             0.56511,            0.031286,            0.010834,                   0,            0.002872,            0.002872,            0.002872
                  74,            0.026211,              0.0133,                   0,             0.89301,             0.75242,              0.8223,             0.56956,             0.03074,            0.010976,                   0,            0.002773,            0.002773,            0.002773
                  75,            0.026033,            0.013087,                   0,             0.91301,             0.73515,             0.83171,             0.57238,            0.030963,            0.010951,                   0,            0.002674,            0.002674,            0.002674
